#  aims_uuid : FC4C6232-86DC-4120-AF99-B9F3EEEC41A6                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -4.13413413        0.00817523        0.00718755        0.00091636        0.00007132
       -4.11411411        0.00987594        0.00870971        0.00108201        0.00008423
       -4.09409409        0.01170578        0.01035535        0.00125286        0.00009756
       -4.07407407        0.01362450        0.01208930        0.00142424        0.00011096
       -4.05405405        0.01558263        0.01386715        0.00159135        0.00012412
       -4.03403403        0.01752346        0.01563704        0.00174968        0.00013675
       -4.01401401        0.01938653        0.01734267        0.00189522        0.00014864
       -3.99399399        0.02111206        0.01892767        0.00202472        0.00015968
       -3.97397397        0.02264633        0.02034072        0.00213571        0.00016989
       -3.95395395        0.02394712        0.02154110        0.00222663        0.00017940
       -3.93393393        0.02498886        0.02250372        0.00229672        0.00018843
       -3.91391391        0.02576670        0.02322327        0.00234617        0.00019726
       -3.89389389        0.02629941        0.02371700        0.00237618        0.00020623
       -3.87387387        0.02663062        0.02402588        0.00238909        0.00021565
       -3.85385385        0.02682831        0.02421394        0.00238858        0.00022580
       -3.83383383        0.02698205        0.02436550        0.00237966        0.00023688
       -3.81381381        0.02719771        0.02458012        0.00236857        0.00024901
       -3.79379379        0.02758969        0.02496506        0.00236242        0.00026221
       -3.77377377        0.02827083        0.02562581        0.00236863        0.00027638
       -3.75375375        0.02934135        0.02665567        0.00239432        0.00029136
       -3.73373373        0.03087825        0.02812568        0.00244566        0.00030692
       -3.71371371        0.03292703        0.03007683        0.00252740        0.00032280
       -3.69369369        0.03549704        0.03251574        0.00264249        0.00033881
       -3.67367367        0.03856125        0.03541448        0.00279195        0.00035481
       -3.65365365        0.04205976        0.03871419        0.00297481        0.00037075
       -3.63363363        0.04590618        0.04233140        0.00318814        0.00038664
       -3.61361361        0.04999497        0.04616540        0.00342706        0.00040251
       -3.59359359        0.05420833        0.05010519        0.00368483        0.00041831
       -3.57357357        0.05842170        0.05403482        0.00395298        0.00043390
       -3.55355355        0.06250739        0.05783689        0.00422160        0.00044890
       -3.53353353        0.06633680        0.06139425        0.00447978        0.00046277
       -3.51351351        0.06978189        0.06459090        0.00471624        0.00047475
       -3.49349349        0.07271713        0.06731302        0.00492012        0.00048399
       -3.47347347        0.07502264        0.06945126        0.00508173        0.00048964
       -3.45345345        0.07658966        0.07090533        0.00519339        0.00049094
       -3.43343343        0.07732857        0.07159115        0.00525005        0.00048738
       -3.41341341        0.07717924        0.07145063        0.00524986        0.00047875
       -3.39339339        0.07612259        0.07046277        0.00519458        0.00046524
       -3.37337337        0.07419138        0.06865421        0.00508976        0.00044742
       -3.35335335        0.07147752        0.06610669        0.00494464        0.00042619
       -3.33333333        0.06813324        0.06295871        0.00477175        0.00040278
       -3.31331331        0.06436406        0.05939941        0.00458607        0.00037857
       -3.29329329        0.06041301        0.05565413        0.00440386        0.00035502
       -3.27327327        0.05653732        0.05196268        0.00424111        0.00033353
       -3.25325325        0.05298070        0.04855334        0.00411205        0.00031531
       -3.23323323        0.04994556        0.04561653        0.00402773        0.00030130
       -3.21321321        0.04756977        0.04328264        0.00399506        0.00029207
       -3.19319319        0.04591185        0.04160769        0.00401637        0.00028778
       -3.17317317        0.04494708        0.04056929        0.00408960        0.00028819
       -3.15315315        0.04457505        0.04007356        0.00420881        0.00029268
       -3.13313313        0.04463716        0.03997174        0.00436509        0.00030032
       -3.11311311        0.04494140        0.04008394        0.00454749        0.00030997
       -3.09309309        0.04529031        0.04022608        0.00474381        0.00032042
       -3.07307307        0.04550768        0.04023577        0.00494145        0.00033045
       -3.05305305        0.04545998        0.03999296        0.00512799        0.00033903
       -3.03303303        0.04506923        0.03943208        0.00529182        0.00034534
       -3.01301301        0.04431598        0.03854440        0.00542276        0.00034882
       -2.99299299        0.04323278        0.03737092        0.00551265        0.00034921
       -2.97297297        0.04189095        0.03598859        0.00555582        0.00034654
       -2.95295295        0.04038396        0.03449345        0.00554952        0.00034099
       -2.93293293        0.03881141        0.03298439        0.00549407        0.00033294
       -2.91291291        0.03726622        0.03155046        0.00539287        0.00032289
       -2.89289289        0.03582637        0.03026280        0.00525215        0.00031142
       -2.87287287        0.03455085        0.02917101        0.00508065        0.00029919
       -2.85285285        0.03347894        0.02830288        0.00488911        0.00028695
       -2.83283283        0.03263157        0.02766639        0.00468970        0.00027548
