#  aims_uuid : A391CB3C-1CEF-4591-A2B9-296226787F70                                
# Angular momentum resolved density for species Has calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.405020 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2
       -1.21059533        0.00000000        0.00000000        0.00000000        0.00000000
       -1.19057531        0.00000000        0.00000000        0.00000000        0.00000000
       -1.17055529        0.00000000        0.00000000        0.00000000        0.00000000
       -1.15053527        0.00000000        0.00000000        0.00000000        0.00000000
       -1.13051525        0.00000000        0.00000000        0.00000000        0.00000000
       -1.11049523        0.00000000        0.00000000        0.00000000        0.00000000
       -1.09047521        0.00000000        0.00000000        0.00000000        0.00000000
       -1.07045519        0.00000000        0.00000000        0.00000000        0.00000000
       -1.05043517        0.00000000        0.00000000        0.00000000        0.00000000
       -1.03041515        0.00000000        0.00000000        0.00000000        0.00000000
       -1.01039513        0.00000000        0.00000000        0.00000000        0.00000000
       -0.99037511        0.00000000        0.00000000        0.00000000        0.00000000
       -0.97035509        0.00000000        0.00000000        0.00000000        0.00000000
       -0.95033507        0.00000000        0.00000000        0.00000000        0.00000000
       -0.93031505        0.00000000        0.00000000        0.00000000        0.00000000
       -0.91029503        0.00000000        0.00000000        0.00000000        0.00000000
       -0.89027501        0.00000000        0.00000000        0.00000000        0.00000000
       -0.87025499        0.00000000        0.00000000        0.00000000        0.00000000
       -0.85023497        0.00000000        0.00000000        0.00000000        0.00000000
       -0.83021495        0.00000000        0.00000000        0.00000000        0.00000000
       -0.81019493        0.00000000        0.00000000        0.00000000        0.00000000
       -0.79017491        0.00000000        0.00000000        0.00000000        0.00000000
       -0.77015489        0.00000000        0.00000000        0.00000000        0.00000000
       -0.75013487        0.00000000        0.00000000        0.00000000        0.00000000
       -0.73011485        0.00000000        0.00000000        0.00000000        0.00000000
       -0.71009483        0.00000000        0.00000000        0.00000000        0.00000000
       -0.69007481        0.00000000        0.00000000        0.00000000        0.00000000
       -0.67005479        0.00000000        0.00000000        0.00000000        0.00000000
       -0.65003477        0.00000000        0.00000000        0.00000000        0.00000000
       -0.63001475        0.00000000        0.00000000        0.00000000        0.00000000
       -0.60999473        0.00000000        0.00000000        0.00000000        0.00000000
       -0.58997471        0.00000001        0.00000001        0.00000000        0.00000000
       -0.56995469        0.00000003        0.00000003        0.00000000        0.00000000
       -0.54993467        0.00000009        0.00000008        0.00000001        0.00000000
       -0.52991465        0.00000026        0.00000024        0.00000002        0.00000000
       -0.50989463        0.00000072        0.00000067        0.00000005        0.00000000
       -0.48987461        0.00000196        0.00000182        0.00000013        0.00000001
       -0.46985459        0.00000509        0.00000472        0.00000035        0.00000002
       -0.44983457        0.00001270        0.00001179        0.00000087        0.00000004
       -0.42981455        0.00003048        0.00002830        0.00000208        0.00000011
       -0.40979453        0.00007030        0.00006526        0.00000480        0.00000024
       -0.38977451        0.00015579        0.00014462        0.00001064        0.00000054
       -0.36975449        0.00033176        0.00030796        0.00002265        0.00000114
       -0.34973447        0.00067888        0.00063019        0.00004636        0.00000234
       -0.32971445        0.00133493        0.00123917        0.00009116        0.00000461
       -0.30969443        0.00252243        0.00234146        0.00017226        0.00000870
       -0.28967441        0.00458007        0.00425146        0.00031280        0.00001581
       -0.26965439        0.00799137        0.00741794        0.00054584        0.00002759
       -0.24963437        0.01339879        0.01243722        0.00091529        0.00004628
       -0.22961435        0.02158768        0.02003817        0.00147490        0.00007461
       -0.20959433        0.03342280        0.03102328        0.00228393        0.00011559
       -0.18957431        0.04972525        0.04615433        0.00339880        0.00017212
       -0.16955429        0.07109017        0.06598303        0.00486079        0.00024635
       -0.14953427        0.09766570        0.09064573        0.00668101        0.00033896
       -0.12951425        0.12893684        0.11966246        0.00882596        0.00044842
       -0.10949423        0.16357543        0.15179739        0.01120752        0.00057051
       -0.08947421        0.19942102        0.18504061        0.01368208        0.00069832
       -0.06945419        0.23363859        0.21675399        0.01606179        0.00082281
       -0.04943417        0.26305907        0.24398672        0.01813831        0.00093404
       -0.02941415        0.28465557        0.26391704        0.01971569        0.00102284
       -0.00939413        0.29606040        0.27433206        0.02064576        0.00108258
        0.01062589        0.29600179        0.27403381        0.02085737        0.00111061
        0.03064591        0.28454986        0.26306920        0.02037178        0.00110888
        0.05066593        0.26310649        0.24272329        0.01929953        0.00108367
        0.07068595        0.23414135        0.21527797        0.01781911        0.00104427
        0.09070597        0.20074279        0.18359940        0.01614236        0.00100103
        0.11072599        0.16609651        0.15065795        0.01447540        0.00096317
        0.13074601        0.13301265        0.11909165        0.01298406        0.00093694
        0.15076603        0.10359480        0.09089882        0.01177137        0.00092461
        0.17078605        0.07909515        0.06730002        0.01087075        0.00092438
        0.19080607        0.05994663        0.04876128        0.01025410        0.00093125
        0.21082609        0.04592388        0.03513458        0.00985078        0.00093852
        0.23084611        0.03636672        0.02585598        0.00957118        0.00093956
        0.25086613        0.03040447        0.02014616        0.00932902        0.00092929
        0.27088615        0.02713801        0.01717532        0.00905762        0.00090508
        0.29090617        0.02576029        0.01617528        0.00871797        0.00086704
        0.31092619        0.02561618        0.01649961        0.00829898        0.00081759
        0.33094621        0.02621518        0.01764288        0.00781172        0.00076058
        0.35096623        0.02721481        0.01923384        0.00728065        0.00070032
        0.37098625        0.02839112        0.02101570        0.00673472        0.00064070
        0.39100627        0.02960782        0.02282288        0.00620034        0.00058460
        0.41102629        0.03079065        0.02455960        0.00569728        0.00053377
        0.43104631        0.03190922        0.02618276        0.00523756        0.00048889
        0.45106633        0.03296575        0.02768930        0.00482644        0.00045001
        0.47108635        0.03398823        0.02910673        0.00446466        0.00041684
        0.49110637        0.03502475        0.03048478        0.00415081        0.00038916
        0.51112639        0.03613547        0.03188545        0.00388305        0.00036697
        0.53114641        0.03737999        0.03336967        0.00365989        0.00035043
        0.55116643        0.03879982        0.03497998        0.00348007        0.00033977
        0.57118645        0.04039813        0.03672150        0.00334162        0.00033500
        0.59120647        0.04212199        0.03854540        0.00324085        0.00033574
        0.61122649        0.04385306        0.04034045        0.00317158        0.00034104
        0.63124651        0.04541210        0.04193779        0.00312492        0.00034939
        0.65126653        0.04657969        0.04313078        0.00309002        0.00035889
        0.67128655        0.04713089        0.04370801        0.00305543        0.00036744
        0.69130657        0.04687696        0.04349299        0.00301086        0.00037312
        0.71132659        0.04570456        0.04238126        0.00294891        0.00037439
        0.73134661        0.04360257        0.04036591        0.00286630        0.00037035
        0.75136663        0.04066984        0.03754477        0.00276424        0.00036083
        0.77138665        0.03710191        0.03410769        0.00264792        0.00034630
        0.79140667        0.03316035        0.03030731        0.00252525        0.00032780
        0.81142669        0.02913237        0.02642051        0.00240520        0.00030666
        0.83144671        0.02528971        0.02270923        0.00229611        0.00028437
        0.85146673        0.02185523        0.01938851        0.00220443        0.00026229
        0.87148675        0.01898207        0.01660652        0.00213396        0.00024159
